"","salmonovary_02","salmonovary_03","salmonovary_07","salmonovary_09","salmonovary_10","salmonovary_11","salmonovary_12","salmonovary_13","salmonovary_14","salmonovary_15","salmonovary_16","salmonovary_17","salmonovary_18","salmonovary_19","salmonovary_20","salmonovary_21","salmonovary_22","salmonovary_23","salmonovary_24","salmonovary_26","salmonovary_27","salmonovary_28"
"XP_020330802.1",-6.51584383050685,-6.44922149471363,-6.6128769275873,-6.34409195464778,-6.49866561670112,-6.66546700762554,-6.29221854710262,-6.41310346287371,-6.30077608815087,-6.318960911407,-6.6623556548999,-6.62753534676929,-6.49189279772012,-6.59239163230159,-6.42048698340607,-6.34334552715737,-6.55269922111026,-6.75951356067416,-6.71522402629328,-6.65066575638898,-6.39431169462281,-6.69572553675032
"XP_020330822.1",-5.01415695538521,-5.3235211812424,-5.23247598464071,-5.58822563171459,-5.43713048097548,-5.49054285717903,-5.28572743195208,-5.20615078604401,-5.28655312136537,-5.33143650690099,-5.3074710256895,-5.46053287791022,-5.45671080354804,-5.21736091978263,-5.42190877452431,-5.28233103764181,-5.5078950603465,-5.34869123382369,-5.55318313288459,-5.39947894412176,-5.39066983742296,-5.55788231251624
"XP_020330832.2",-6.62985288105753,-8.45519673391093,-7.05940020700181,-7.75312042789639,-11.234200536658,-10.5033342342356,-8.94842001389039,-9.22031514048538,-7.07753773693484,-8.53958399520162,-8.94823292852148,-9.37262389537882,-7.68586088950943,-8.58555199069252,-9.14707339661066,-7.61275055761203,-9.5760634981406,-7.57536065605868,-9.35531154466297,-9.26139934370861,-9.13560163624838,-9.58765014890563
"XP_020330858.1",-12.4843230327766,-13.2349513035982,-12.5755610997214,-12.5094578449932,-12.7722078077734,-12.942054013858,-12.3421358449549,-13.9096629291445,-12.5791566329365,-12.4311950396411,-13.0548391370155,-12.5616103042564,-12.4284969832439,-12.54484706671,-12.6213142221159,-12.3263140521266,-13.8542113527197,-12.5030168420621,-13.6133333399585,-12.7702652461263,-13.8896369718492,-13.5361561531845
"XP_020330859.1",-9.30290797076402,-10.2443198734118,-12.9439698625903,-11.7039514993703,-12.4961091117934,-13.0272155196494,-11.0765442797623,-12.4638670813505,-10.85663051954,-11.122274639829,-12.8532326458024,-11.7156177186006,-12.2616373711603,-10.9287063319989,-12.2137409244384,-10.7289743523317,-12.4324049608892,-13.0517996979815,-11.6458626848396,-11.6273043538968,-11.4378059666446,-13.3267013985816
"XP_020330865.1",-10.2893439615742,-10.2003935480876,-10.2287564231472,-10.4570553460015,-8.67971401575208,-8.60925900779218,-9.91234030954217,-8.62784809848382,-10.3638691713947,-9.96567313902187,-8.8058213388286,-9.3632576029884,-10.1272467952391,-10.0625287033558,-9.08218008271456,-10.0821181923054,-8.23065032003083,-10.2455820013777,-9.13162997968539,-8.99193108855893,-8.87235224646648,-8.49037615229356
"XP_020330877.2",-9.97273322355183,-9.7409760665854,-8.81051187244071,-10.4973238663918,-10.1643760144694,-10.5018005696034,-9.76012072839937,-9.79283713945535,-9.20171740149928,-9.3146432043353,-10.5430484997079,-10.073208089693,-9.03241862937257,-9.36895759669837,-9.94825508068434,-8.81237662497135,-10.1220041525143,-9.05762937440469,-10.0900161500396,-9.85919111281667,-11.6527211673091,-10.1674614530017
"XP_020330890.2",-15.8080706839804,-13.8226571890154,-13.2184066614073,-15.0808994837747,-17.491441076369,-12.4306672816514,-15.2318198872249,-15.523876949548,-14.572077380314,-13.8408991527557,-14.3024204653315,-14.6309188309234,-13.7442579111721,-14.4008061355994,-15.2617648511087,-15.7806416981125,-13.1734678538217,-17.3928758585274,-14.1709264268692,-15.1169166163913,-14.1022518384853,-14.9597236346574
"XP_020330923.1",-16.529572444911,-15.4813559648762,-19.0983667572652,-18.4337849350813,-17.0719755648401,-16.7255281645231,-16.550455267482,-16.318568321899,NA,-17.2029115261262,-18.7633499638082,-17.0042488228202,-16.7680873180077,NA,-16.4852248185176,-16.0950173319598,-15.8586648389773,NA,-16.5779006912587,-16.9288711188458,-14.9920558082459,-18.3573482374421
"XP_020330930.1",-13.7206828148522,-13.161996924578,-13.7873585556788,-13.4726783658244,-12.8266363954095,-13.4218180606329,-13.0249026028419,-12.6051922737736,-13.8061086503387,-13.5094584183013,-13.080859342758,-12.9522196335094,-13.218409016779,-12.9808269789344,-12.8903523425603,-12.7726851774029,-12.6690078535649,-13.6896616702144,-12.8573316891155,-12.9606170632753,-13.5140660055464,-13.0094662499099
"XP_020330956.1",-9.73760203680862,-9.03781662973438,-9.51330265091802,-9.92425442976725,-8.61453737067943,-8.36096828668381,-8.86219555597819,-8.16082847963791,-9.51733551834202,-9.09115189743015,-8.46288513752474,-9.17796116484898,-9.58191609806707,-9.22268816035398,-8.50717677521205,-9.20792900982183,-7.96200388579715,-9.44963544719183,-8.5091444896865,-8.71533265111112,-8.02136272320024,-7.84023149894887
"XP_020330987.1",-2.63631321296672,-2.53852445961312,-3.55810390327609,-3.38943608620176,-3.06038895482537,-3.10542166188811,-2.97859452975786,-3.01163645754447,-2.86225147810918,-2.77763947717709,-2.88533911270444,-3.39007658410387,-2.58245179638185,-2.53948988751766,-3.28494410793731,-2.74556844103798,-2.8232892414052,-2.97153426799672,-2.39341427208637,-3.38222394219772,-2.74406824684067,-3.26452836963678
"XP_020330999.1",-7.89461838468762,-7.31984677516004,-8.16890126475356,-8.2814373698237,-7.15273979097026,-7.4906214981938,-7.87654349321007,-6.56685621950264,-8.00915333683577,-7.74901787141318,-7.4170510062043,-7.55411024035183,-8.07647635735,-8.26640549125907,-7.60920972825271,-7.58087545194556,-7.84347671973458,-8.27298859903595,-7.51554069952723,-7.92799052140819,-6.65083617647722,-6.81249426663773
